"","nombre_familia","numero_contratos","numero_entidades","numero_contratistas","contratos_cerrados","contratos_adicion","IHH_frecuencia","IHH_valor","DN","puntaje_concentracion"
"214","Maquinaria y equipo para energía atómica o nuclear",46,22,20,0.978260869565217,0,1540.6427221172,2254.38863433769,0.135265700483092,1897.51567822745
"215","Servicios comunitarios y sociales",1841,73,760,0.891906572514938,0.268875611080934,20.4615669223059,4030.80618159854,0.00150379047304159,2025.63387426042
"216","Materiales de empaque",27,12,20,0.925925925925926,0.037037037037037,672.153635116598,3422.63084827618,0.0313390313390313,2047.39224169639
"217","Ayuda y asistencia humanitaria",82,22,48,0.829268292682927,0.219512195121951,386.674598453302,3850.30063390029,0.0267991568804577,2118.48761617679
"218","Nutrición clínica",1016,32,104,0.996062992125984,0.0393700787401575,3233.73271746544,1045.30494427622,0.322706644428067,2139.51883087083
"219","Industrias de la madera y el papel",23,19,22,0.695652173913043,0,472.589792060492,3815.23318891455,0.00395256916996047,2143.91149048752
"220","Servicios de asesoría de gestión",10513,552,5154,0.733567963473794,0.0667744697041758,6.26357356800003,4320.44544947103,0.000531287565833184,2163.35451151951
"221","Servicios de medios de telecomunicaciones",606,184,357,0.673267326732673,0.0264026402640264,52.88152577634,4530.14547131005,0.00364400076371274,2291.5134985432
"222","Instrumentos de medida, observación y ensayo",1518,243,495,0.89064558629776,0.160079051383399,86.6284428752207,4523.32110234827,0.00800935901678214,2304.97477261174
"223","Equipos de servicios de alimentación para instituciones",54,33,50,0.981481481481482,0.037037037037037,219.478737997256,4458.39033526669,0.00349406009783368,2338.93453663197
"224","Equipo de diálisis y suministros",60,33,48,0.883333333333333,0.233333333333333,305.555555555556,4560.28889612715,0.0141242937853107,2432.92222584135
"225","Medicina alternativa y holística",39,13,17,0.923076923076923,0.0769230769230769,1150.55884286654,3782.61375982285,0.0917678812415655,2466.58630134469
"226","Servicios de administración y financiación pública",127,34,62,0.897637795275591,0.0551181102362205,301.940603881208,4632.97469294443,0.0224971878515186,2467.45764841282
"227","Componentes y sistemas de transporte",744,171,315,0.84005376344086,0.0376344086021505,137.696554514973,4862.31193070433,0.0124422929420107,2500.00424260965
"228","Equipo de laboratorio y científico",1180,284,471,0.848305084745763,0.129661016949153,68.5004309106579,5109.01381134172,0.00600767671540087,2588.75712112619
